,title,article,price,cat_1,cat_2,cat_3,url,description,caracteristics,source,date
0,Беговая дорожка Planta TM-400,400127733,26999,Тренажры,Беговые дорожки,Planta,https://img.mvideo.ru/Pdb/400127733b.jpg," Беговая дорожка Planta TM-400 подходит для пользователей любой физической подготовки. Благодаря мощному двигателю (1,25 л.с.) развивается скорость до 12 км/ч. Встроена регулировка уровня наклона на 3 уровнях и 12 программ тренировок. Разрешенный максимальный вес пользователя не должен превышать 110 кг. Поручни оборудованы датчиками для измерения пульса. Складная конструкция тренажера позволяет удобно хранить его в вертикальном направлении. Установка производится одним нажатием на кнопку внизу корпуса.   Встроена система амортизации. Антискользящее покрытие бегового полотна делает тренировки максимально безопасными. На цифровом дисплее можно отслеживать скорость, время, дистанцию, калории, пульс. Для перемещения предусмотрены удобные колесики. Включение производится от сети 220 В. Вес беговой дорожки равен 31,6 кг. Габариты — 61х117х131 см. Читать полностью", Гарантия 3 года Страна Китай Длина полотна 110 см Максимальный вес пользователя 110 кг Ширина полотна 40 см Максимальная скорость 12 км/ч Мощность двигателя (л.с.) 1.25 Регулировка угла наклона 3 * Регулировка угла наклона Да Цифровой дисплей Да Индикация дистанции Да Индикация выбранной скорости Да Индикация расхода калорий Да Индикация пульса Да Колесики для перемещения Да Питание от сети 220 В Да Глубина 61 см Ширина 117 см Высота 131 см Вес 31.6 кг ,www.mvideo.ru,2023-08-16
1,Беговая дорожка FURENDO Osaka 1.5,4207513,19999,Тренажры,Беговые дорожки,FURENDO,https://img.mvideo.ru/Big/4207513bb.jpg," Беговая дорожка Furendo Osaka 1.5 — тренажер с размером рабочего полотна 1030х380 мм. Модель снабжена дисплеем, который отображает основную информацию: расстояние, скорость и время бега, количество расходуемых калорий и пульс пользователя (считывается с помощью сенсоров на поручнях). Модель рассчитана на вес до 80 кг и может развивать скорость вращения полотна до 12 км/ч, чему способствует двигатель мощностью 1,5 л.с. Можно выбрать одну из 12 предустановленных программ тренировок.  На корпусе дорожки есть держатель под планшет, транспортировочные ролики и компенсаторы неровности пола. Для удобного хранения корпус тренажера складывается.", Гарантия 1 год Страна Китай Длина полотна 100 см Максимальный вес пользователя 80 кг Ширина полотна 38 см Максимальная скорость 10 км/ч Мощность двигателя (л.с.) 1.5 Цифровой дисплей Да Индикация дистанции Да Индикация выбранной скорости Да Индикация расхода калорий Да Индикация пульса Да Питание от сети 220 В Да Глубина 130 см Ширина 115 см Высота 64 см Вес 30 кг Цвет черный ,www.mvideo.ru,2023-08-16
2,Беговая дорожка Planta TM-300,4208420,31999,Тренажры,Беговые дорожки,Planta,https://img.mvideo.ru/Pdb/4208420b.jpg," Тренировочная беговая дорожка Planta TM-300 габаритами 590х985х145 мм рассчитана на весовую нагрузку до 100 кг. Длина полотна составляет 1100 мм, ширина — 400 мм. В движение ленту приводит электродвигатель пиковой мощностью 750 Вт, который позволяет развить скорость от 0,1 км/ч. до 12 км/ч. Безопасному использованию способствует антискользящее покрытие с повышенной стойкостью к износу. Его легко очистить от загрязнений при помощи влажной уборки, не разбрызгивая воду на электрические компоненты. Длина провода для подключения к электросети — 1,5 м.  Кардиотренажер весом 23 кг оснащен колесиками для удобной транспортировки. Складной поручень с подставкой для бутылки воды и мобильного гаджета можно зафиксировать в одном из нескольких положений или разместить горизонтально. Led-дисплей с индикаторами расположен в передней части корпуса. Он информирует о скорости, пройденном расстоянии, количестве потраченных калорий, общем пробеге, который не обнуляется после выключения устройства. Для запуска или остановки ленты, выбора скорости предусмотрен пульт дистанционного управления. Ключ безопасности предназначен для экстренной остановки дорожки.  Складная конструкция способствует компактному хранению беговой дорожки в любом положении. Система смазывания механизма продлевает срок службы и повышает производительность тренажера. Читать полностью", Гарантия 1 месяц Страна Китай Длина полотна 110 см Максимальный вес пользователя 100 кг Ширина полотна 40 см Максимальная скорость 12 км/ч Цифровой дисплей Да Индикация дистанции Да Индикация выбранной скорости Да Индикация расхода калорий Да Питание от сети 220 В Да Глубина 59 см Ширина 98.5 см Высота 14.5 см Вес 23 кг Цвет черный ,www.mvideo.ru,2023-08-16
3,Беговая дорожка Yamaguchi Runway-X,400161303,39749,Тренажры,Беговые дорожки,Yamaguchi,https://img.mvideo.ru/Pdb/400161303b.jpg,, Гарантия 1 год Страна Китай Длина полотна 47 см Максимальный вес пользователя 120 кг Ширина полотна 120 см Максимальная скорость 6 км/ч Мощность двигателя (л.с.) 0.6 Цифровой дисплей Да Индикация дистанции Да Индикация выбранной скорости Да Колесики для перемещения Да Питание от сети 220 В Да Глубина 9.3 см Ширина 64.1 см Высота 143.6 см Вес 27.8 кг Цвет черный/ серый ,www.mvideo.ru,2023-08-16
4,Беговая дорожка WalkingPad A1 Pro,400083995,27199,Тренажры,Беговые дорожки,WalkingPad,https://img.mvideo.ru/Pdb/400083995b.jpg," Беговая дорожка WalkingPad A1 Pro — модель, которая подойдет для интенсивной ходьбы. Полотно размерами 120х41,5 см выдерживает нагрузку до 105 кг. Максимальная скорость составляет 6 км/ч, которая регулируется при помощи интеллектуального алгоритма. Бесщеточный двигатель во время работы издает шум на уровне 65 дБ. На дисплей выводятся сведения о пройденных километрах и израсходованных калориях.   Тренажер отличается компактностью, может складываться и храниться под кроватью, диваном или в вертикальном положении. Легкость транспортировки обеспечивают колесики. Устройство можно подключить к смартфону через приложение KS fit, сохранять данные тренировок для отслеживания прогресса. Потребляемое напряжение — 220 В. Цвет — черный. Габариты — 143,2х54,7х12,9 см. Вес — 28 кг. Читать полностью", Гарантия 1 год Страна Китай Удачное решение Хранение в вертикальном положении Пользователи оценят Поддержка мобильного приложения KS fit Хорошо придумано Складная конструкция Длина полотна 120 см Максимальный вес пользователя 105 кг Ширина полотна 41.5 см Максимальная скорость 6 км/ч Цифровой дисплей Да Индикация дистанции Да Индикация выбранной скорости Да Индикация расхода калорий Да Колесики для перемещения Да Питание от сети 220 В Да Глубина 143.2 см Ширина 54.7 см Высота 12.9 см Вес 28 кг Цвет черный ,www.mvideo.ru,2023-08-16
5,Беговая дорожка WalkingPad R2,400085462,39199,Тренажры,Беговые дорожки,WalkingPad,https://img.mvideo.ru/Pdb/400085462b.jpg," Беговая дорожка WalkingPad R2 — модель, которая подойдет для интенсивной ходьбы или легкого бега. Полотно размерами 120х41,5 см выдерживает нагрузку до 110 кг. Максимальная скорость составляет 12 км/ч, которая регулируется при помощи интеллектуального алгоритма. Бесщеточный двигатель во время работы издает шум на уровне 65 дБ. На дисплей выводятся сведения о пройденных километрах и израсходованных калориях.   Тренажер отличается компактностью, может складываться и храниться под кроватью, диваном или в вертикальном положении. Легкость транспортировки обеспечивают колесики. Устройство можно подключить к смартфону через приложение KS fit, сохранять данные тренировок для отслеживания прогресса. Потребляемое напряжение — 220 В. Цвет — черный. Габариты — 145х72х103 см. Вес — 37 кг. Читать полностью", Гарантия 1 год Страна Китай Удачное решение Встроенная система контроля скорости Пользователи оценят Пульт дистанционного управления Хорошо придумано Складная конструкция Длина полотна 120 см Максимальный вес пользователя 110 кг Ширина полотна 41 см Максимальная скорость 12 км/ч Цифровой дисплей Да Индикация дистанции Да Индикация выбранной скорости Да Индикация расхода калорий Да Колесики для перемещения Да Питание от сети 220 В Да Глубина 145 см Ширина 72 см Высота 103 см Вес 37 кг Цвет черный ,www.mvideo.ru,2023-08-16
6,Беговая дорожка Yamaguchi MAX,400161325,117999,Тренажры,Беговые дорожки,Yamaguchi,https://img.mvideo.ru/Pdb/400161325b.jpg,, Гарантия 1 год Страна Китай Длина полотна 1250 см Максимальный вес пользователя 140 кг Ширина полотна 480 см Максимальная скорость 12 км/ч Цифровой дисплей Да Индикация дистанции Да Индикация выбранной скорости Да Индикация расхода калорий Да Индикация пульса Да Колесики для перемещения Да Питание от сети 220 В Да Глубина 1460 см Ширина 1050 см Высота 750 см Вес 44.8 кг Цвет черный ,www.mvideo.ru,2023-08-16
7,Беговая дорожка Xiaomi OVICX X3 Plus,400003326,42490,Тренажры,Беговые дорожки,Xiaomi,https://img.mvideo.ru/Pdb/400003326b.jpg," Беговая дорожка Xiaomi Ovicx X3 Plus оснащена двигателем мощностью 3,5 л.с. и системой демпфирования, которая эффективно гасит удары и вибрацию во время работы. Дизайн модели разработан итальянской фирмой Habits. Модуль Bluetooth позволяет подключиться к смартфону и передавать сведения о тренировке, отслеживать прогресс. Полотно способно двигаться с максимальной скоростью 20 км/ч, выдерживает нагрузку до 120 кг. Размеры — 130х45 см.   Легкость управления достигается благодаря нажатию всего на одну кнопку. Данные о занятии отображаются на цифровом дисплее. Колесики помогают менять расположение тренажера в комнате, не царапая напольное покрытие. Цвет — черный. Габариты — 170х115х83 см. Вес — 70 кг. Читать полностью", Гарантия 1 год Страна Китай Обратите внимание Система демпфирования Удачное решение Управление одной кнопкой Важная особенность Дизайн итальянской фирмы Habits Пользователи оценят Имеет соединение Bluetooth Хорошо придумано Тренировки с приложением OVICS Длина полотна 130 см Максимальный вес пользователя 120 кг Ширина полотна 45 см Максимальная скорость 20 км/ч Мощность двигателя (л.с.) 3.5 Цифровой дисплей Да Индикация дистанции Да Индикация выбранной скорости Да Индикация расхода калорий Да Индикация пульса Да Колесики для перемещения Да Питание от сети 220 В Да Глубина 170 см ,www.mvideo.ru,2023-08-16
8,Беговая дорожка UnixFit ST-530M,4079070,33890,Тренажры,Беговые дорожки,UnixFit,https://img.mvideo.ru/Pdb/4079070b.jpg," Беговая дорожка UnixFit ST-530M — это домашний спортивный модуль с возможностью настройки нагрузок. Тренажер можно использовать как для легкой пробежки, так и для интенсивной ходьбы. У прибора корректируется угол наклона, так что вы можете прокачивать мышцы ног при активном подъеме в гору.   Яркий дисплей, размещенный на лицевой стороне корпуса, показывает пройденное расстояние, израсходованные калории и ваши физиологические параметры. Модель оснащается держателем под бутылки с водой. Транспортировочные ролики упрощают эксплуатацию.   Кардиотренажер обладает компактными размерами, он не занимает много места в помещении. После сложения его можно хранить как в вертикальном, так и в горизонтальном положении. Платформа с регулировкой полотна в трех ракурсах предназначена для пользования людьми ростом до 170 см. Есть восемь тренировочных профилей, максимальная скорость — 12 км/ч — соответствует бегу в среднем темпе. Читать полностью", Читать обзор на товар Гарантия 2 года Страна Китай Длина полотна 110 см Максимальный вес пользователя 110 кг Ширина полотна 40 см Максимальная скорость 12 км/ч Мощность двигателя (л.с.) 1.5 Регулировка угла наклона 15 * Цифровой дисплей Да Индикация дистанции Да Индикация выбранной скорости Да Индикация пульса Да Колесики для перемещения Да Питание от сети 220 В Да Глубина 130 см Ширина 65 см Высота 150 см Вес 35 кг Цвет черный ,www.mvideo.ru,2023-08-16
9,Беговая дорожка Orlauf Falcon A,400032892,54990,Тренажры,Беговые дорожки,Orlauf,https://img.mvideo.ru/Pdb/400032892b.jpg," Беговая дорожка Orlauf Fitness Falcon A оснащена современной системой амортизации, которая снижает риск получения травм суставов при выполнении тренировок в домашних условиях. Модель оборудована USB-выходом для подзарядки аккумулятора внешних устройств. Размер бегового полотна с противоскользящим покрытием составляет 125x43 см, доступна электронная регулировка угла наклона. Максимальная нагрузка не должна превышать 130 кг.  Устройство оснащено двигателем мощностью 2,25 л.с., который способен развивать скорость до 14 км/ч. Дорожка складывается пополам, благодаря чему не занимает много места при хранении. Встроен сенсорный дисплей с возможностью выбора одной из 12 предустановленных программ тренировок. В поручнях установлены кардиодатчики. Модель оборудована небольшими колесиками для транспортировки по дому без повреждения напольного покрытия. Читать полностью",,www.mvideo.ru,2023-08-16
